fraudulent,full_description
0,head content f de berlin 20000 28000 found 2009 fonpit ag rise international web portal androidpit world large android community every month 18 million android tech enthusiast around world log androidpit know find late innovative information android android apps 6 different language business activity consist close collaboration many world large tech web mobile company 2014 app media amend fonpit ag brand portfolio one stop shop app marketing app media deliver quality performance marketing app give client successful campaign possible custom concept sustainable result locate heart berlin constantly look highly motivated success drive personality help androidpit app media grow even far responsibility manage english speak editorial team build team good class editorsset content creation schedule ensure deadline adhere toresearch write late tech topic news relation android ecosystemensure content site consistently high qualitybe face voice url 874846adb69d98865d05ec57ce2425d9e363ef71e0c8436e59e86a136a508716 know university college degree journalism medium communication studiesprofessional experience relevant field e g online editorial community management tech writing possession contact within key company mobile industryexperience leading amp motivate small teamspassion android world hone writing skill personal flair willingness share android knowledgestrong commitment success motivate inspiring personality comfortable dynamic startup environmentenglish native speakerlocate berlin surrounding benefit part fast grow company booming industryfast decision make thank flat hierarchy clear structuresfreedom unfold idea amp creativity take responsibility right startcontinue growth successful international team thrive familiar professional work atmospherefree drink table tennis lunch catering feel good management team event office dog full time mid senior level master degree online media management androidpit
0,vp sales vault dragon sg 01 singapore 120000 150000 jungle ventures lead singapore base entrepreneur back venture capital firm fund actively support start scale across asia pacific pride lead investment conviction invest global start solve problem relevant asia pacific market currently investment us singapore india australia thailand malaysia philippines one active investor region make 27 investment date include travelmob acquire homeaway last year jungle truly active investor region mean work mean investment occasional board meeting team venture partners advisors operating partners roll sleeve work side side solve little problem scale across country vault dragon vault dragon dropbox physical stuff startup change aesthetic face singapore create space household office also save countless doctor lawyer professional service firm everyday catastrophe document storage management singapore business review magazine say one 20 hot startup singapore believe word say hot startup singapore crusade lack space singapore support top vc fund include jungle ventures 500 startup golden gate venture vault dragon hero singapore deserve one need right come join job descriptionvault dragon look vp sales roll sleeve drive sale b2b b2c customer need someone persistent seth boiler room drive jordan wolf wall street relate stop read word dictionary love sell like love pancake definitely job boundary come work imagination vp sales breathe drive planning reporting quota setting management sale process optimization sale job design sale training sale program implementation sale compensation design administration recruiting selection sale force talent breathe addition responsible overall productivity effectiveness sale organization report founders vp sales also work closely internal external stakeholder ensure appropriate objective priority enable within sale organization responsibilitiesunleash dragon lead sale charge awesome service rapidly grow startup ground zero sale master come always dream go micro manage drive sale long bunny harm process look change maker know want high level responsibility include smash sale target set new milestonesdevelop quality sale material yourselfgenerate high volume sale relate activity include cold call presentation proposal client relationship developmentdevelop account strategy drive long term revenue growth upsellimplimenting enable technology include crm ensure compliance hiring training incentivise sale team phone field salesconceive implimente sale process get resultscoordinate sale forecasting planning budgeting process founders alignment business plan kpi continuous reportingdeveloping sales bible leverage expand outward key superpowers3 5 year high pressure sale experience absorb knowledge like sponge keep getting promote flexiblepreferably mastery phone field sale business retail customersknow crm get tech tech company heart know fine point powerpoint format install dropbox yes seriously apparently thing entrepreneurial spiritwinn mindsetpersuasionself motivationresilience tenaciousnessworking well stressgoal drivenpreferable knowledge connection singapore across develop citiesteleportation optional basic sgd 120 000equity negotiable rock starground floor opportunity make difference thing dean say way hire train superhero sale team way wantmassive degree freedom deliver resultsfree beer full time executive bachelor degree facilities services sale sale
0,vice president sales sponsorship businessfriend com us ca carlsbad 100000 120000 wdm group innovative forward think digital company aim bring business executive date late news information trend across globe aim inform engaging educate interact business executive world wdm group product take depth look inter country relation trade tourism prominent industry success story lesson learn business physical presence many world large economy wdm group abreast news development occur around clock aim keep ear ground finger pulse bring busy executive breakdown big interesting update across world large influential territory industry wdm group read news make url eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d come social medium company seek vp sales sponsorship executive responsible create sell brand high impact social medium marketing sponsorship program key product ultimate business app url eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d combine ability discover connect share fellow professional offer unique ability communicate manage store notate aspect work life one website one mobile app position world new social networking platform professional company work take part next big thing hit social medium read responsibility create package sell marketing sponsorship opportunity within businessfriend suite connection communication tool boost web site traffic overall usage craft sale presentation creatively distinctly differentiate communicate unique businessfriend asset target prospects educate position businessfriend asset marketing capability sponsor advertiser marketplace demonstrate branding value businessfriend create unique marketing value company assets structure price successfully negotiate close deal arrangements meet exceed revenue key account goals oversee sponsor contract invoicing account receivable develop process ensure execution collections responsible work senior leadership create annual budget include sale forecast expense job requirement reputation go getter rainmaker solid relationship senior level marketing advertising executive relevant corporation locate business social medium arena key contact brand decision maker medium buyer planner senior medium management demonstrate ability develop nurture relationship work effectively level decision process strong interpersonal leadership ability excellent oral write communication skills creative salesperson ability open door demonstrate track record closing innovative sponsorship integrate marketing programs high energy personality thrive fast pace change environment demonstrated high level relationship building negotiating skill businessfriend offer competitive six figure salary executive role well commission stock option offer three week vacation start well pay holiday additionally provide health dental vision insurance full time executive unspecified internet sale businessfriend com
1,ic e technician us stocton ca 95000 115000 staffing amp recruiting right oil amp energy industry represente candidate automatically grant following perk expert negotiation behalf maximize compensation package implimente ongoing increase significant signing bonus refined resources addition potential signing bonus client company offer 1 year access anyperk significant corporate discount cell phone event ticket house cleaning everything inbetween save thousand daily expenditure professional relocation services town candidate candidate encourage participate referral bonus program range anywhere 500 1 000 successfully hire candidate refer directly refined resources teamplease submit referral via online referral formthank look forward work soon click enlarge image ic amp e technician bakersfield ca mt posoprincipal duties responsibility calibrates test maintain troubleshoot install power plant instrumentation control system electrical equipment perform maintenance motor control center motor operate valve generator excitation equipment motor perform preventive predictive corrective maintenance equipment coordinate work various team member design install new equipment system modification troubleshoot perform maintenance dc backup power equipment process control programmable logic control plc emission monitoring equipment use maintenance reporting system record time material use problem identify correct action require provide complete history maintenance equipment schedule coordinate work monitor contractor specific task require follow safe work practice time identify safety hazard recommend solution follow environmental compliance work practice identifies environmental non compliance problem assist implement solution assist team member work department support generating station achieve performance goal train team member area instrumentation control electrical system perform housekeeping assignment directed conduct equipment system tagging accord company plant rule regulation perform equipment safety inspection require record result appropriate participate small construction project read interpret drawing sketch print specification require order part need affect maintenance repair perform operations task need basis task assign available within reasonable response time emergency call overtime plus provide acceptable hour contact phone company pager excellent verbal written communications skills ability coordinate work activity team member technical subject across job family ability work weekend holiday rotate shift require qualificationsknowledge skills amp ability high school diploma ged require must valid driver license ability read write communicate effectively english good math skill four year experience amp c technician electrician power plant environment preferably strong electrical background include voltage 15 kv provide following demonstrated knowledge electrical equipment electronic schematic basic chemistry physics control instrumentation demonstrate knowledge safe work practice associate power plant environment demonstrate ability calibrate amp c system equipment include analytic equipment demonstrate ability configure operate various test instrument equipment necessary troubleshoot repair plant equipment include limit distribute control system programmable logic controller motor control center transformer generator continuous emission monitor cem system demonstrate ability work team environment benefitswhat offer competitive compensation package100 match retirement fundannual vacation pay companysignificant bonus structureopportunity advancement full benefit packageannual performance review base salary increasesannual cost living increase sound clean safe enjoyable work environment amp company cultureworld renound management executive team promote within leverage career invest employee long term success career overall company employee goalsqualifie candidate contact darren lawson vp recruiting email 395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c phone 70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1 full time mid senior level high school equivalent oil energy oil energy
0,marketing administrator gb war coventry 15000 18000 renewable energy environmental protection equipment job support growth url 9f35c886234b8e939f5403fd12ad24821ba485aee59d1581c7a35be587faa504 marketplace project involve liaison vendor administration website liaison website designer interface account client generally troubleshoot various system involve run internet marketplace successful candidate someone interesting marketing would like grow big role within company computer literateable work html although code skill requirementsuitably qualifiedenthusiastic imaginative suitably motivated success orientated person possibility work ever convenient full time entry level bachelor degree internet marketing marketplace
0,senior business development manager gb manchester 70000 90000 marketinvoice one high profile london base fin tech company company europe lead p2p invoice finance platform allow sme quickly flexibly sell invoice release critical work capital process mission marketinvoice modernise way sme finance work capital fund growth seek bring much need innovation banking industry much way online retailer disrupt high street join diverse multi talented fast grow team passionate use technology help business access funding change world business finance backgrounda senior sale account management role business development team see develop high value qualified lead profitable portfolio client role perfect experienced consultative sale professional understand customer need work capital believe marketinvoice mission make business finance efficient transparent key responsibilitiesconversion qualified lead multiple industry sector active trading account ongoing management accountsachieve sale target consist volume revenue new client client retentionmentoring management sales associates role encompass deliver specify business development strategy target daily basisengagement ceo fd sme mid cap business ukface face client meeting board levelproviding timely accurate reporting businessuse house datum source well log activity via crm systemundergoe personal training development route marketinvoice management team eventually take ownership part businessattendance external event networking opportunitiesdeale inbound sale lead referral multiple business sector across ukexecuting successful sale technique move target marketinvoice sale funneldrive new business generation referral relationship building 5 10 year sale experience b2b solution sale either financial service technology sector hold high level personal drive great work ethic track record ordinary value creation determined ambitious ability lead coach strong competitive nature professional attitude analytical methodical numerate cross functional understanding marketing mixstrong clear precise verbal write communication skill self drive quality result orient ability work well pressure hold team player mentality excellent knowledge financial product available uk business wide finance investment industry include pe vc alternative funder peer2peer landscape ability help set define sale strategy strong excel crm capability base manchester officecompetitive basic salary highly incentivise pay structureuncappe commission scheme base monthly trading volume revenue 25 day holidayprivate health insurance full time mid senior level bachelor degree financial services sales sales business development
0,senior project manager gb london 28000 45000 neverbland team designer developer doer specialist user experience interaction design product development earn spur develop startup understand importance simple elegant solution quick release match beautiful aesthetic functional design drive web ability unite empower passionate collaboration open source movement really excite next bear ability multi task organize life life laser accuracy n fortunately author post include people like startling brilliance love work heart close knit team develop medium long term plan much enjoy day day remit communicate deliver exciting project client passion internet lead web technology whilst expect developer aware lead front back end technology know php js css ease write spec justify approach client equally home manage project agile way confident control budget also relish work part international team support studio simultaneously manage grow relationship client side understand importance work fast deliver time never ever expense quality fantastic opportunity talented ambitious hard work producer look open end opportunity product focus anything dull 2 3 year agency experience producer project manager role essential ability work autonomously manage multiple project spec writing budgeting across multiple client simultaneously excellent verbal write communication skills talking write etc love solve problem real business matter large desire build strong respect drive relationship client team need prioritise schedule experience across range digital project social web e commerce good understanding current technology demonstrate passion web equally active life outside ability actively contribute team culture work dynamic creative environment learn first hand start grow market new startup product build exciting apps thousand people use love work broad range project brandsteam lunch drink dare say party unlimited holiday trust get job track ote bonus scheme pay quarterly full time mid senior level bachelor degree internet production production
0,field services supervisor us wi western wisconsin 44000 57000 dairy food beverage processor work within one complex competitive precision drive industry need partner rely address operational issue w sprinkman provide system design engineering installation well stainless steel manufacturing maintenance servicing equipment 80 year secret foundation core longevity incredibly talented dedicated staff sale service concept installation w sprinkman design build install stainless steel processing system dairy food beverage industry rapidly grow organization tank opportunity enthusiastic team orient people passion delight customer look field services coordinator responsible aspect field service include scope scheduling staffing assignment procurement follow essential duty responsibility include following job definition scopeworks customer understand scope field service project necessary participate kick meeting customer assume role site manager installation necessary prepare deliver estimate customer field service track document change order ensure proper billing project completion manage procurement process ensure material order send job site time receive inbound request additional material field determine proper course action purchasing occasion act sale lead field service work develop business service delivery managementresponsible direction management site field service crew work field service crew ensure aspect job complete work shop foreman scheduling resource job site operationsensure safety requirement meet ensure dot requirement adhere ensures sprinkman quality standard uphold within field service organization develop write report procedure field service work perform ensure accurate record field service call maintain review customer billing ensure accuracy maintain organization maintenance field service vehicle equipment track maintain record warranty work 5 7 year experience fabrication field service preferably food beverage industry 3 5 year supervisory experience equivalent combination skill experience prove ability work cross functional team environment provide solid benefit package health dental vision 401 k long short term disability plus company wide profit sharing program full time associate high school equivalent mechanical industrial engineering manufacturing field operations
0,internal recruiter gb lnd london 20000 40000 playfair capital early stage technology investment fund base london responsible hire across portfolio company previous recruitment experience fast growth tech drive company work awesome group company integral part ability grow succeed full time mid senior level bachelor degree information technology services human resources playfair capital
0,software developer mp indore 360000 600000 domain 4 year walkover specialize web base application development mobile application development create innovative product since found continue introduce new product time time technology usecore php python url 968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659 android windows open source software powerful aws server walkover use good available technology premium version database product work smoothly key productsmsg91 sms solution provider msg91 internet base service allow send sms critical alert masse product info url dec6f6c8d9574a0bc1a076d97338f24cd6025226211457c53c3687296348c0f4 utteru international calling utteru enable international calling use mobile dialer access number way like two way call help connect world low cost product info url c7cee061daffb40439ee81a61a60ff7f68ca42dd3fd22258a611ff29d71dbae5 giddh accounting software giddh extremely simple use accounting software manage day day financial transaction systematic way enhance efficiency business product info url 50c92cae3ee0f3f612d663ce1c86fd894e4c1a6247b98a273f0c828e13c68de2 saveandsearch save document search later web base tool enable save anything search later product info url cbcbf9e91b0d65022dfffc9fcab1f6005b8f6f42b967c08f21d13332ff197003 code task something play know basic thing like file handling javascript jquery ajax play reverse string without use extra memory example convert str hello n olleh n without use extra memory variable think work answer something level would need otherwise waste time beautiful world oo oo must expertise mysql mongodb experience handle large amount datum knowledge python url 968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659 core php technology would add advantage handle issue like db crash high load db migration etc good command php java javascript technology clear programming fundamental experience object oriented programming play multidimensional array develop web service advanced level sound visualize write high end code carry awareness market trend dictate software development clarity interfaces constructors polymorphism static method let know ethical hacker min 1 year web development house product development chance try hand research development full time mid senior level bachelor degree information technology services information technology software development
